event_time,signup_cohort,user_id,stage,channel,platform,city,app_version,event_count,activation_event,vkyc_success_event,payment_success_event,days_since_launch
2026-02-01,2026-02-01,U100001,Signup,Google,iOS,Delhi,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100001,Phone Verified,Google,iOS,Delhi,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100001,PAN Verified,Google,iOS,Delhi,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100001,FD Payment Success,Google,iOS,Delhi,3.7.9,1,0,0,1,0
2026-02-01,2026-02-01,U100002,Signup,CRED,iOS,Mumbai,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100002,Phone Verified,CRED,iOS,Mumbai,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100002,PAN Verified,CRED,iOS,Mumbai,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100003,Signup,Google,Web,Hyderabad,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100003,Phone Verified,Google,Web,Hyderabad,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100003,PAN Verified,Google,Web,Hyderabad,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100004,Signup,PaisaBazaar,Web,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100004,Phone Verified,PaisaBazaar,Web,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100004,PAN Verified,PaisaBazaar,Web,Bangalore,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100004,FD Payment Success,PaisaBazaar,Web,Bangalore,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100005,Signup,Google,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100005,Phone Verified,Google,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100005,PAN Verified,Google,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100006,Signup,Meta,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100006,Phone Verified,Meta,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100006,PAN Verified,Meta,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100006,FD Payment Success,Meta,Android,Bangalore,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100006,VKYC Success,Meta,Android,Bangalore,3.8.1,1,0,1,0,0
2026-02-01,2026-02-01,U100007,Signup,Google,Android,Pune,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100007,Phone Verified,Google,Android,Pune,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100007,PAN Verified,Google,Android,Pune,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100007,FD Payment Success,Google,Android,Pune,3.8.0,1,0,0,1,0
2026-02-04,2026-02-01,U100007,VKYC Success,Google,Android,Pune,3.8.0,1,0,1,0,0
2026-02-01,2026-02-01,U100008,Signup,Meta,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100008,Phone Verified,Meta,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100008,PAN Verified,Meta,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100008,FD Payment Success,Meta,Android,Bangalore,3.8.0,1,0,0,1,0
2026-02-04,2026-02-01,U100008,VKYC Success,Meta,Android,Bangalore,3.8.0,1,0,1,0,0
2026-02-04,2026-02-01,U100008,Card Issued,Meta,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100009,Signup,Google,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100009,Phone Verified,Google,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100009,PAN Verified,Google,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100010,Signup,Google,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100010,Phone Verified,Google,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100010,PAN Verified,Google,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100011,Signup,CRED,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100011,Phone Verified,CRED,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100011,PAN Verified,CRED,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100011,FD Payment Success,CRED,Android,Bangalore,3.7.9,1,0,0,1,0
2026-02-04,2026-02-01,U100011,VKYC Success,CRED,Android,Bangalore,3.7.9,1,0,1,0,0
2026-02-01,2026-02-01,U100012,Signup,CRED,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100012,Phone Verified,CRED,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100012,PAN Verified,CRED,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100012,FD Payment Success,CRED,Android,Delhi,3.8.0,1,0,0,1,0
2026-02-04,2026-02-01,U100012,VKYC Success,CRED,Android,Delhi,3.8.0,1,0,1,0,0
2026-02-04,2026-02-01,U100012,Card Issued,CRED,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100013,Signup,Meta,Web,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100013,Phone Verified,Meta,Web,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100013,PAN Verified,Meta,Web,Delhi,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100014,Signup,Meta,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100014,Phone Verified,Meta,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100014,PAN Verified,Meta,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100014,FD Payment Success,Meta,Android,Mumbai,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100014,VKYC Success,Meta,Android,Mumbai,3.8.1,1,0,1,0,0
2026-02-01,2026-02-01,U100015,Signup,Organic,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100015,Phone Verified,Organic,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100015,PAN Verified,Organic,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100016,Signup,Meta,Web,Bangalore,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100016,Phone Verified,Meta,Web,Bangalore,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100017,Signup,Google,Web,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100017,Phone Verified,Google,Web,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100017,PAN Verified,Google,Web,Bangalore,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100017,FD Payment Success,Google,Web,Bangalore,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100018,Signup,Organic,iOS,Hyderabad,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100018,Phone Verified,Organic,iOS,Hyderabad,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100018,PAN Verified,Organic,iOS,Hyderabad,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100018,FD Payment Success,Organic,iOS,Hyderabad,3.8.1,1,0,0,1,0
2026-02-01,2026-02-01,U100019,Signup,Meta,Web,Bangalore,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100019,Phone Verified,Meta,Web,Bangalore,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100019,PAN Verified,Meta,Web,Bangalore,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100020,Signup,Meta,Android,Pune,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100020,Phone Verified,Meta,Android,Pune,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100020,PAN Verified,Meta,Android,Pune,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100020,FD Payment Success,Meta,Android,Pune,3.8.1,1,0,0,1,0
2026-02-01,2026-02-01,U100021,Signup,Meta,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100021,Phone Verified,Meta,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100021,PAN Verified,Meta,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100021,FD Payment Success,Meta,Android,Delhi,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100022,Signup,Google,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100022,Phone Verified,Google,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100023,Signup,Meta,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100023,Phone Verified,Meta,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100023,PAN Verified,Meta,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100024,Signup,PaisaBazaar,Android,Pune,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100024,Phone Verified,PaisaBazaar,Android,Pune,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100024,PAN Verified,PaisaBazaar,Android,Pune,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100024,FD Payment Success,PaisaBazaar,Android,Pune,3.7.9,1,0,0,1,0
2026-02-01,2026-02-01,U100025,Signup,CRED,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100025,Phone Verified,CRED,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100025,PAN Verified,CRED,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100025,FD Payment Success,CRED,Android,Bangalore,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100026,Signup,PaisaBazaar,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100026,Phone Verified,PaisaBazaar,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100026,PAN Verified,PaisaBazaar,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100027,Signup,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100027,Phone Verified,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100027,PAN Verified,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100027,FD Payment Success,Meta,Android,Bangalore,3.7.9,1,0,0,1,0
2026-02-04,2026-02-01,U100027,VKYC Success,Meta,Android,Bangalore,3.7.9,1,0,1,0,0
2026-02-04,2026-02-01,U100027,Card Issued,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100028,Signup,Organic,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100028,Phone Verified,Organic,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100028,PAN Verified,Organic,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100028,FD Payment Success,Organic,Android,Bangalore,3.7.9,1,0,0,1,0
2026-02-04,2026-02-01,U100028,VKYC Success,Organic,Android,Bangalore,3.7.9,1,0,1,0,0
2026-02-01,2026-02-01,U100029,Signup,Meta,Web,Bangalore,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100030,Signup,PaisaBazaar,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100030,Phone Verified,PaisaBazaar,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100030,PAN Verified,PaisaBazaar,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-05,2026-02-01,U100030,FD Payment Success,PaisaBazaar,iOS,Delhi,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100030,VKYC Success,PaisaBazaar,iOS,Delhi,3.8.1,1,0,1,0,0
2026-02-04,2026-02-01,U100030,Card Issued,PaisaBazaar,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100030,Card Activated,PaisaBazaar,iOS,Delhi,3.8.1,1,1,0,0,0
2026-02-01,2026-02-01,U100031,Signup,Google,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100031,Phone Verified,Google,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100031,PAN Verified,Google,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100032,Signup,Organic,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100032,Phone Verified,Organic,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100032,PAN Verified,Organic,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100032,FD Payment Success,Organic,Android,Bangalore,3.8.0,1,0,0,1,0
2026-02-04,2026-02-01,U100032,VKYC Success,Organic,Android,Bangalore,3.8.0,1,0,1,0,0
2026-02-04,2026-02-01,U100032,Card Issued,Organic,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100033,Signup,Organic,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100033,Phone Verified,Organic,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100033,PAN Verified,Organic,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100034,Signup,PaisaBazaar,Android,Pune,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100034,Phone Verified,PaisaBazaar,Android,Pune,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100034,PAN Verified,PaisaBazaar,Android,Pune,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100034,FD Payment Success,PaisaBazaar,Android,Pune,3.8.1,1,0,0,1,0
2026-02-01,2026-02-01,U100035,Signup,CRED,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100035,Phone Verified,CRED,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100035,PAN Verified,CRED,Android,Mumbai,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100035,FD Payment Success,CRED,Android,Mumbai,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100035,VKYC Success,CRED,Android,Mumbai,3.8.1,1,0,1,0,0
2026-02-01,2026-02-01,U100036,Signup,Google,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100036,Phone Verified,Google,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100036,PAN Verified,Google,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100036,FD Payment Success,Google,iOS,Delhi,3.8.0,1,0,0,1,0
2026-02-04,2026-02-01,U100036,VKYC Success,Google,iOS,Delhi,3.8.0,1,0,1,0,0
2026-02-01,2026-02-01,U100037,Signup,Google,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100037,Phone Verified,Google,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100037,PAN Verified,Google,Android,Delhi,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100038,Signup,CRED,Web,Bangalore,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100038,Phone Verified,CRED,Web,Bangalore,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100038,PAN Verified,CRED,Web,Bangalore,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100038,FD Payment Success,CRED,Web,Bangalore,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100038,VKYC Success,CRED,Web,Bangalore,3.8.1,1,0,1,0,0
2026-02-04,2026-02-01,U100038,Card Issued,CRED,Web,Bangalore,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100039,Signup,Google,Android,Hyderabad,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100040,Signup,Organic,Android,Pune,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100040,Phone Verified,Organic,Android,Pune,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100040,PAN Verified,Organic,Android,Pune,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100041,Signup,Meta,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100041,Phone Verified,Meta,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100041,PAN Verified,Meta,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100041,FD Payment Success,Meta,Android,Bangalore,3.8.1,1,0,0,1,0
2026-02-01,2026-02-01,U100042,Signup,PaisaBazaar,Android,Pune,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100043,Signup,PaisaBazaar,iOS,Pune,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100043,Phone Verified,PaisaBazaar,iOS,Pune,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100043,PAN Verified,PaisaBazaar,iOS,Pune,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100044,Signup,Organic,Android,Pune,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100044,Phone Verified,Organic,Android,Pune,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100045,Signup,CRED,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100045,Phone Verified,CRED,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100045,PAN Verified,CRED,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100045,FD Payment Success,CRED,Android,Delhi,3.7.9,1,0,0,1,0
2026-02-04,2026-02-01,U100045,VKYC Success,CRED,Android,Delhi,3.7.9,1,0,1,0,0
2026-02-01,2026-02-01,U100046,Signup,CRED,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100046,Phone Verified,CRED,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100046,PAN Verified,CRED,Android,Bangalore,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100047,Signup,Meta,Android,Mumbai,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100047,Phone Verified,Meta,Android,Mumbai,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100047,PAN Verified,Meta,Android,Mumbai,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100047,FD Payment Success,Meta,Android,Mumbai,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100048,Signup,Google,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100048,Phone Verified,Google,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100048,PAN Verified,Google,Android,Bangalore,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100048,FD Payment Success,Google,Android,Bangalore,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100049,Signup,CRED,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100049,Phone Verified,CRED,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100049,PAN Verified,CRED,iOS,Delhi,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100049,FD Payment Success,CRED,iOS,Delhi,3.8.0,1,0,0,1,0
2026-02-04,2026-02-01,U100049,VKYC Success,CRED,iOS,Delhi,3.8.0,1,0,1,0,0
2026-02-01,2026-02-01,U100050,Signup,Organic,Web,Mumbai,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100050,Phone Verified,Organic,Web,Mumbai,3.8.0,1,0,0,0,0
2026-02-03,2026-02-01,U100050,PAN Verified,Organic,Web,Mumbai,3.8.0,1,0,0,0,0
2026-02-04,2026-02-01,U100050,FD Payment Success,Organic,Web,Mumbai,3.8.0,1,0,0,1,0
2026-02-01,2026-02-01,U100051,Signup,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100051,Phone Verified,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100051,PAN Verified,Meta,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100052,Signup,Google,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100053,Signup,Organic,iOS,Bangalore,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100053,Phone Verified,Organic,iOS,Bangalore,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100053,PAN Verified,Organic,iOS,Bangalore,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100053,FD Payment Success,Organic,iOS,Bangalore,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100053,VKYC Success,Organic,iOS,Bangalore,3.8.1,1,0,1,0,0
2026-02-04,2026-02-01,U100053,Card Issued,Organic,iOS,Bangalore,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100054,Signup,Organic,Android,Pune,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100054,Phone Verified,Organic,Android,Pune,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100054,PAN Verified,Organic,Android,Pune,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100055,Signup,Google,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100055,Phone Verified,Google,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100055,PAN Verified,Google,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100055,FD Payment Success,Google,Android,Bangalore,3.7.9,1,0,0,1,0
2026-02-04,2026-02-01,U100055,VKYC Success,Google,Android,Bangalore,3.7.9,1,0,1,0,0
2026-02-04,2026-02-01,U100055,Card Issued,Google,Android,Bangalore,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100056,Signup,CRED,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100056,Phone Verified,CRED,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100056,PAN Verified,CRED,iOS,Delhi,3.8.1,1,0,0,0,0
2026-02-01,2026-02-01,U100057,Signup,Google,iOS,Pune,3.8.0,1,0,0,0,0
2026-02-02,2026-02-01,U100057,Phone Verified,Google,iOS,Pune,3.8.0,1,0,0,0,0
2026-02-01,2026-02-01,U100058,Signup,Google,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100058,Phone Verified,Google,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-03,2026-02-01,U100058,PAN Verified,Google,Android,Mumbai,3.7.9,1,0,0,0,0
2026-02-04,2026-02-01,U100058,FD Payment Success,Google,Android,Mumbai,3.7.9,1,0,0,1,0
2026-02-04,2026-02-01,U100058,VKYC Success,Google,Android,Mumbai,3.7.9,1,0,1,0,0
2026-02-01,2026-02-01,U100059,Signup,Google,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-02,2026-02-01,U100059,Phone Verified,Google,Android,Delhi,3.7.9,1,0,0,0,0
2026-02-01,2026-02-01,U100060,Signup,CRED,Android,Pune,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100060,Phone Verified,CRED,Android,Pune,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100060,PAN Verified,CRED,Android,Pune,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100060,FD Payment Success,CRED,Android,Pune,3.8.1,1,0,0,1,0
2026-02-01,2026-02-01,U100061,Signup,Google,Android,Delhi,3.8.1,1,0,0,0,0
2026-02-02,2026-02-01,U100061,Phone Verified,Google,Android,Delhi,3.8.1,1,0,0,0,0
2026-02-03,2026-02-01,U100061,PAN Verified,Google,Android,Delhi,3.8.1,1,0,0,0,0
2026-02-04,2026-02-01,U100061,FD Payment Success,Google,Android,Delhi,3.8.1,1,0,0,1,0
2026-02-04,2026-02-01,U100061,VKYC Success,Google,Android,Delhi,3.8.1,1,0,1,0,0
